title,description,category,image_url,price,duration,age_rating,url
Великая Победа: города героев,"Документальный VR-фильм о городах-героях России. Погружение в историю Великой Отечественной войны через кадры военной хроники и современные виды городов.",VR/360°,,от 7 500 ₽,25 мин.,7+,https://altairika.ru/catalog
Заповедники Коми,"Путешествие по уникальным природным заповедникам Республики Коми. Нетронутая природа, редкие животные и живописные пейзажи Севера.",VR/360°,,от 2 700 ₽,14 мин.,7+,https://altairika.ru/catalog
